ngram_decoded,count,p_ngram,pmi,entropy_reduction,internal_entropy,frequency_norm,pmi_norm,entropy_reduction_norm,internal_entropy_norm,composite_score
267 21 264,189052,0.001589746496685252,7.255059006420424,3.651665544716585,1.4756571186644774,0.5586730763063779,0.16878211875276813,0.7121973365937149,0.37120993817807435,0.48681435729929784
282 21 264,210395,0.0017692207126615617,8.46866155506372,3.4403936783600013,1.686928985021061,0.5696074650627982,0.18278220519791594,0.6709922320533919,0.42435657736480653,0.4865981853885867
262 12 39,368425,0.003098101861081945,4.170937036375322,3.372949458026807,1.7543732053542556,0.6268787098939279,0.1332037704407279,0.6578383455592035,0.441322554449654,0.4864624241968332
39 63 39 266 44 265,70207,0.0005903737188328157,20.606468115152744,3.201706252769055,1.9256164106120073,0.4574122714954911,0.32280361606731134,0.6244401733550711,0.4843997563505102,0.486267996017552
282 21 261 324 39 33 39 19,4042,0.0000339893539322609,33.6163348717515,4.347286330170314,0.7800363332107485,0.16559152460757315,0.47288508996982853,0.8478667358343357,0.1962225745841781,0.4858058973739946
282 21,441702,0.003714291343539709,3.7428314247274264,3.2146513132988273,1.9126713500822352,0.645422033800865,0.12826515558908338,0.6269648946140284,0.4811433527739685,0.4850310133784923
271,794253,0.006678908047689267,0.0,3.05662595910006,2.0706967042810023,0.7054038758766181,0.08508795267831301,0.5961446469773092,0.5208955290896852,0.4844079129442438
282 21 264 324 39 33 39 19,3828,0.00003218981861768796,33.86744611762483,4.308127071769996,0.8191955916110665,0.1600308110914833,0.47578190256593383,0.8402293662028143,0.20607330867817764,0.4839444528870659
39 33,504876,0.004245524259253873,1.3612381937752405,3.253058334172125,1.8742643292089376,0.6590871216325821,0.10079115996524136,0.634455552681561,0.47148184830680345,0.4827512910840227
39 63 39 36 44 265,88771,0.0007464792028502555,20.867303984208267,2.863485557292898,2.2638371060881646,0.48139533354921293,0.32581261165557446,0.5584757865432749,0.5694810952809778,0.4826906758834897
280 12 39,105318,0.0008856236460756689,5.0045515647467465,4.218309615986319,0.9090130473947435,0.49886796369014136,0.14282032527754648,0.8227119479164354,0.22866740034558722,0.48267136406451244
307,210568,0.0017706754771915668,0.0,4.077572361463652,1.049750301917411,0.5696914858234323,0.08508795267831301,0.7952634599311167,0.2640706568947734,0.4816476691355432
39 63 39 266 44 65 21,37508,0.00031540640457477533,23.611270729376415,3.265678448548245,1.8616442148328172,0.3933284546475659,0.35746693841841004,0.6369168985348758,0.46830718678272276,0.4808658407711089
51 33 55 263 51 281,15300,0.00012865836594843933,21.621366050888476,4.150526412296788,0.9767962510842741,0.3016637240195875,0.33451145142839095,0.8094919482909713,0.24571865062104065,0.4792237733569907
71 21 261,120633,0.0010144081476769987,3.563329428203565,4.127336736589188,0.999985926791874,0.5127468155427102,0.1261944253724898,0.804969183247683,0.2515521453922233,0.4792073461743225
286 12,169470,0.0014250806063583015,2.4320629256346584,3.9465408783329146,1.180781785048148,0.5474952317807338,0.11314416534611621,0.769707923107473,0.2970323714673045,0.4791124780894237
282 21 261 22 71 12,23104,0.00019428254162566944,17.054513164491446,4.23222885708224,0.8950938062988223,0.34379579503292945,0.2818283590409314,0.825426667080753,0.22516593610884167,0.47908026241305496
297 263 51 287 51 13,23671,0.00019905046930493512,22.967125468439225,3.640667210673745,1.4866554527073172,0.34627421524834634,0.3500360959680259,0.7100522923347707,0.37397663163854394,0.4786923748670444
